currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDAUD,10,llama3-8b,0,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,1,0.5,59,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""market_technical""]",4,0.5
USDAUD,10,llama3-8b,2,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,3,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,4,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,5,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,6,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,7,0.2,34,0.504,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""market_technical""]",4,0.8
USDAUD,10,llama3-8b,8,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,9,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,10,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,11,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,12,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,13,0.5,54,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,14,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,15,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,16,0.5,51,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,17,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,18,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,llama3-8b,19,0.5,52,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",5,0.5
USDAUD,10,qwen2.5-7b,0,0.2,49,0.794,"[""inflation"", ""risk_sentiment"", ""market_technical""]",3,0.7
