currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDEUR,1,llama3-8b,0,53,0.9,5,0.7,0.5,0.00088998937606799,
USDEUR,1,llama3-8b,1,35,0.3,4,0.61,0.8,0.00088998937606799,
USDEUR,1,llama3-8b,2,53,0.9,5,0.7,0.5,0.003779974937438979,
USDEUR,1,llama3-8b,3,52,0.9,5,0.7,0.5,0.0035400068283080177,
USDEUR,1,llama3-8b,4,55,0.9,6,0.7,0.5,0.00043998346328733007,
USDEUR,1,llama3-8b,5,54,0.9,5,0.7,0.5,0.0006800111770629558,
USDEUR,1,llama3-8b,6,53,0.9,4,0.7,0.5,0.0001000058174132068,
USDEUR,1,llama3-8b,7,52,0.9,5,0.7,0.5,0.0008999941825867941,
USDEUR,1,llama3-8b,8,53,0.9,5,0.7,0.5,0.0008999941825867941,
USDEUR,1,llama3-8b,9,53,0.9,5,0.7,0.5,0.0007500288963318003,
USDEUR,1,llama3-8b,10,53,0.9,5,0.7,0.5,0.0038399791717528275,
USDEUR,1,llama3-8b,11,52,0.9,4,0.7,0.5,0.003670005607604998,
USDEUR,1,llama3-8b,12,51,0.9,5,0.7,0.5,0.006950020408630353,
USDEUR,1,llama3-8b,13,55,0.9,6,0.7,0.5,0.0008399902343749766,
USDEUR,1,llama3-8b,14,52,0.9,5,0.7,0.5,0.0009399902343749655,
USDEUR,1,llama3-8b,15,53,0.9,5,0.7,0.5,0.0009399902343749655,
USDEUR,1,llama3-8b,16,51,0.9,5,0.7,0.5,0.0003800045967101706,
USDEUR,1,llama3-8b,17,53,0.9,4,0.7,0.5,0.003700019550323619,
USDEUR,1,llama3-8b,18,54,0.9,6,0.7,0.5,0.0005299939155579692,
USDEUR,1,llama3-8b,19,54,0.9,6,0.7,0.5,0.009149985980987596,
USDEUR,1,qwen2.5-7b,0,42,0.2,3,0.502,0.7,0.00088998937606799,
USDEUR,1,qwen2.5-7b,1,40,0.2,3,0.49,0.7,0.00088998937606799,
USDEUR,1,qwen2.5-7b,2,44,0.2,3,0.514,0.7,0.003779974937438979,
USDEUR,1,qwen2.5-7b,3,42,0.2,3,0.502,0.7,0.0035400068283080177,
USDEUR,1,qwen2.5-7b,4,42,0.2,3,0.502,0.7,0.00043998346328733007,
USDEUR,1,qwen2.5-7b,5,42,0.2,3,0.502,0.7,0.0006800111770629558,
USDEUR,1,qwen2.5-7b,6,42,0.2,3,0.502,0.7,0.0007000058174132517,
USDEUR,1,qwen2.5-7b,7,42,0.2,4,0.552,0.7,0.0008999941825867941,
USDEUR,1,qwen2.5-7b,8,42,0.2,3,0.502,0.7,0.0008999941825867941,
USDEUR,1,qwen2.5-7b,9,42,0.2,4,0.552,0.7,0.0007500288963318003,
USDEUR,1,qwen2.5-7b,10,40,0.2,3,0.49,0.7,0.0038399791717528275,
USDEUR,1,qwen2.5-7b,11,36,0.2,4,0.566,0.7,0.003670005607604998,
USDEUR,1,qwen2.5-7b,12,40,0.2,3,0.49,0.7,0.008650020408630388,
USDEUR,1,qwen2.5-7b,13,42,0.2,3,0.502,0.7,0.0008399902343749766,
USDEUR,1,qwen2.5-7b,14,42,0.2,3,0.502,0.7,0.0009399902343749655,
USDEUR,1,qwen2.5-7b,15,42,0.2,3,0.502,0.7,0.0009399902343749655,
USDEUR,1,qwen2.5-7b,16,40,0.2,3,0.49,0.7,0.0003800045967101706,
USDEUR,1,qwen2.5-7b,17,42,0.2,3,0.502,0.7,0.003700019550323619,
USDEUR,1,qwen2.5-7b,18,42,0.2,3,0.502,0.7,0.0005299939155579692,
USDEUR,1,qwen2.5-7b,19,42,0.2,3,0.502,0.7,0.009149985980987596,
USDEUR,1,mistral-7b,0,54,0.2,4,0.7,0.75,0.001389989376068046,
USDEUR,1,mistral-7b,1,59,0.2,4,0.7,0.7,0.001189989376067957,
USDEUR,1,mistral-7b,2,50,0.2,4,0.7,0.75,0.003479974937439012,
USDEUR,1,mistral-7b,3,46,0.2,4,0.676,0.75,0.0038400068283079847,
USDEUR,1,mistral-7b,4,52,0.2,5,0.7,0.75,0.000839983463287397,
USDEUR,1,mistral-7b,5,49,0.2,5,0.694,0.75,0.00028001117706299983,
USDEUR,1,mistral-7b,6,43,0.2,5,0.658,0.75,0.00020000581741319579,
USDEUR,1,mistral-7b,7,39,0.2,4,0.584,0.75,0.001099994182586772,
USDEUR,1,mistral-7b,8,59,0.2,4,0.7,0.7,0.001099994182586772,
USDEUR,1,mistral-7b,9,39,0.2,4,0.584,0.7,0.0009500288963317782,
USDEUR,1,mistral-7b,10,57,0.2,4,0.7,0.7,0.0033399791717527716,
USDEUR,1,mistral-7b,11,43,0.2,5,0.658,0.75,0.004870005607604977,
USDEUR,1,mistral-7b,12,43,0.2,4,0.608,0.7,0.007150020408630331,
USDEUR,1,mistral-7b,13,48,0.2,5,0.688,0.7,0.0012399902343750435,
USDEUR,1,mistral-7b,14,51,0.2,4,0.75,0.75,0.0014399902343750215,
USDEUR,1,mistral-7b,15,57,0.2,4,0.7,0.75,0.0014399902343750215,
USDEUR,1,mistral-7b,16,57,0.2,4,0.7,0.75,0.0008800045967102266,
USDEUR,1,mistral-7b,17,53,0.2,5,0.7,0.7,0.004500019550323642,
USDEUR,1,mistral-7b,18,60,0.2,4,0.7,0.7,0.0006299939155579581,
USDEUR,1,mistral-7b,19,48,0.2,5,0.688,0.7,0.008449985980987562,
