currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDSGD,5,llama3-8b,0,65,0.7,5,0.7,0.5,0.0027100174713134972,25.0
USDSGD,5,llama3-8b,1,55,0.7,3,0.65,0.5,0.002108019638061487,50.0
USDSGD,5,llama3-8b,2,58,0.7,3,0.7,0.5,0.0014339835357664922,50.0
USDSGD,5,llama3-8b,3,56,0.7,4,0.7,0.5,0.005628001708984342,50.0
USDSGD,5,llama3-8b,4,55,0.7,3,0.65,0.5,0.0012799753952025927,50.0
USDSGD,5,llama3-8b,5,57,0.7,4,0.7,0.5,0.0019259917831421004,25.0
USDSGD,5,llama3-8b,6,55,0.7,2,0.6,0.5,0.0028459942626952728,25.0
USDSGD,5,llama3-8b,7,56,0.7,5,0.7,0.5,0.0036380051422118865,25.0
USDSGD,5,llama3-8b,8,54,0.6,3,0.7,0.5,0.004022002105712863,25.0
USDSGD,5,llama3-8b,9,56,0.7,4,0.7,0.5,0.0043120230484009255,50.0
USDSGD,5,llama3-8b,10,54,0.6,3,0.7,0.5,0.0037780084228515864,25.0
USDSGD,5,llama3-8b,11,56,0.7,4,0.7,0.5,0.007696030731201198,25.0
USDSGD,5,llama3-8b,12,54,0.6,3,0.7,0.5,0.007006031913757349,50.0
USDSGD,5,llama3-8b,13,59,0.7,3,0.7,0.5,0.003618040962219249,25.0
USDSGD,5,llama3-8b,14,66,0.7,4,0.7,0.5,0.004964028854370151,25.0
USDSGD,5,llama3-8b,15,55,0.7,4,0.7,0.5,0.0038660159301758144,50.0
USDSGD,5,llama3-8b,16,55,0.7,3,0.65,0.5,0.00301601215362548,25.0
USDSGD,5,llama3-8b,17,59,0.7,4,0.7,0.5,0.0029539958953857413,25.0
USDSGD,5,llama3-8b,18,59,0.7,3,0.6,0.5,0.0021460058593750107,25.0
USDSGD,5,llama3-8b,19,57,0.7,4,0.65,0.5,0.0056560160827636265,25.0
USDSGD,5,qwen2.5-7b,0,34,0.2,4,0.554,0.7,0.0027100174713134972,25.0
USDSGD,5,qwen2.5-7b,1,30,0.2,3,0.43,0.7,0.002108019638061487,50.0
USDSGD,5,qwen2.5-7b,2,62,0.2,3,0.6,0.7,0.0014339835357664922,50.0
USDSGD,5,qwen2.5-7b,3,30,0.2,3,0.43,0.7,0.005628001708984342,50.0
USDSGD,5,qwen2.5-7b,4,62,0.2,3,0.6,0.7,0.0012799753952025927,50.0
USDSGD,5,qwen2.5-7b,5,30,0.2,3,0.43,0.7,0.0019259917831421004,25.0
USDSGD,5,qwen2.5-7b,6,33,0.2,3,0.448,0.7,0.0028459942626952728,25.0
USDSGD,5,qwen2.5-7b,7,40,0.2,3,0.59,0.7,0.0036380051422118865,25.0
USDSGD,5,qwen2.5-7b,8,34,0.2,3,0.504,0.7,0.004022002105712863,25.0
USDSGD,5,qwen2.5-7b,9,36,0.2,3,0.516,0.7,0.0043120230484009255,50.0
USDSGD,5,qwen2.5-7b,10,30,0.2,3,0.43,0.7,0.0037780084228515864,25.0
USDSGD,5,qwen2.5-7b,11,69,0.2,3,0.55,0.7,0.007696030731201198,25.0
USDSGD,5,qwen2.5-7b,12,36,0.2,3,0.516,0.7,0.007006031913757349,50.0
USDSGD,5,qwen2.5-7b,13,34,0.2,2,0.454,0.7,0.003618040962219249,25.0
USDSGD,5,qwen2.5-7b,14,41,0.2,2,0.496,0.7,0.004964028854370151,25.0
USDSGD,5,qwen2.5-7b,15,35,0.2,3,0.51,0.7,0.0038660159301758144,50.0
USDSGD,5,qwen2.5-7b,16,34,0.2,2,0.404,0.7,0.00301601215362548,25.0
USDSGD,5,qwen2.5-7b,17,33,0.2,3,0.448,0.7,0.0029539958953857413,25.0
USDSGD,5,qwen2.5-7b,18,42,0.2,4,0.602,0.7,0.0021460058593750107,25.0
USDSGD,5,qwen2.5-7b,19,66,0.2,3,0.55,0.7,0.0056560160827636265,25.0
USDSGD,5,mistral-7b,0,39,0.1,2,0.434,0.7,0.0027100174713134972,25.0
USDSGD,5,mistral-7b,1,43,0.2,3,0.558,0.7,0.002108019638061487,50.0
USDSGD,5,mistral-7b,2,36,0.1,2,0.466,0.7,0.0014339835357664922,50.0
USDSGD,5,mistral-7b,3,37,0.1,2,0.422,0.7,0.005628001708984342,50.0
USDSGD,5,mistral-7b,4,47,0.2,4,0.582,0.7,0.0012799753952025927,50.0
USDSGD,5,mistral-7b,5,43,0.2,3,0.558,0.7,0.0019259917831421004,25.0
USDSGD,5,mistral-7b,6,49,0.2,4,0.644,0.7,0.002509995956420852,25.0
USDSGD,5,mistral-7b,7,45,0.2,3,0.57,0.7,0.0036380051422118865,25.0
USDSGD,5,mistral-7b,8,45,0.2,3,0.52,0.7,0.004022002105712863,25.0
USDSGD,5,mistral-7b,9,39,0.1,2,0.434,0.7,0.0043120230484009255,50.0
USDSGD,5,mistral-7b,10,40,0.2,3,0.49,0.65,0.0037580084228515886,25.0
