currency,horizon,model,window_idx,explanation_len,news_grounding_rate,n_factors_cited,coherence_score,confidence_score,abs_pred_error,directional_accuracy
USDTWD,1,llama3-8b,0,36,0.2,3,0.516,0.7,0.05780008544921955,
USDTWD,1,llama3-8b,1,54,0.6,3,0.7,0.5,9.940185546852831e-05,
USDTWD,1,llama3-8b,2,46,0.2,1,0.426,0.7,0.08899942016601514,
USDTWD,1,llama3-8b,3,52,0.2,2,0.6,0.7,0.031900579833983755,
USDTWD,1,llama3-8b,4,50,0.2,2,0.5,0.7,0.031900579833983755,
USDTWD,1,llama3-8b,5,57,0.6,3,0.7,0.5,0.020099465942383432,
USDTWD,1,llama3-8b,6,61,0.3,1,0.6,0.5,0.23290074768066305,
USDTWD,1,llama3-8b,7,62,0.8,2,0.6,0.5,0.11959968261718856,
USDTWD,1,llama3-8b,8,39,0.2,3,0.534,0.7,0.062200634765623875,
USDTWD,1,llama3-8b,9,60,0.2,2,0.6,0.7,0.006700738525388772,
USDTWD,1,llama3-8b,10,55,0.6,3,0.7,0.5,0.03199926147460985,
USDTWD,1,llama3-8b,11,41,0.2,3,0.546,0.7,0.03199926147460985,
USDTWD,1,llama3-8b,12,36,0.2,3,0.516,0.7,0.11609998474121141,
USDTWD,1,llama3-8b,13,53,0.6,3,0.65,0.5,0.04909938964843619,
USDTWD,1,llama3-8b,14,57,0.6,2,0.6,0.5,0.007998535156247044,
USDTWD,1,llama3-8b,15,57,0.6,3,0.7,0.5,0.10229959106445108,
USDTWD,1,llama3-8b,16,50,0.2,1,0.45,0.7,0.047300335693357454,
USDTWD,1,llama3-8b,17,61,0.3,1,0.6,0.5,0.03199966430663892,
USDTWD,1,llama3-8b,18,69,0.2,2,0.65,0.5,0.03199966430663892,
USDTWD,1,llama3-8b,19,47,0.2,1,0.482,0.7,0.031198425292970455,
USDTWD,1,qwen2.5-7b,0,39,0.2,2,0.484,0.7,0.05780008544921955,
USDTWD,1,qwen2.5-7b,1,38,0.2,2,0.478,0.7,9.940185546852831e-05,
USDTWD,1,qwen2.5-7b,2,38,0.2,3,0.478,0.7,0.08899942016601514,
USDTWD,1,qwen2.5-7b,3,38,0.2,2,0.478,0.7,0.031900579833983755,
USDTWD,1,qwen2.5-7b,4,41,0.2,3,0.496,0.7,0.031900579833983755,
USDTWD,1,qwen2.5-7b,5,43,0.2,2,0.558,0.7,0.020099465942383432,
USDTWD,1,qwen2.5-7b,6,41,0.2,3,0.496,0.7,0.23290074768066305,
USDTWD,1,qwen2.5-7b,7,54,0.2,2,0.6,0.7,0.11959968261718856,
USDTWD,1,qwen2.5-7b,8,44,0.2,2,0.564,0.7,0.062200634765623875,
USDTWD,1,qwen2.5-7b,9,49,0.2,3,0.594,0.7,0.006700738525388772,
USDTWD,1,qwen2.5-7b,10,54,0.2,2,0.55,0.7,0.03199926147460985,
USDTWD,1,qwen2.5-7b,11,37,0.3,2,0.422,0.7,0.03199926147460985,
USDTWD,1,qwen2.5-7b,12,57,0.2,2,0.6,0.7,0.11609998474121141,
USDTWD,1,qwen2.5-7b,13,47,0.2,3,0.682,0.7,0.04909938964843619,
USDTWD,1,qwen2.5-7b,14,40,0.2,3,0.54,0.7,0.007998535156247044,
USDTWD,1,qwen2.5-7b,15,41,0.2,3,0.546,0.7,0.10229959106445108,
USDTWD,1,qwen2.5-7b,16,43,0.2,3,0.658,0.7,0.047300335693357454,
USDTWD,1,qwen2.5-7b,17,35,0.3,1,0.31,0.75,0.07199966430663807,
USDTWD,1,qwen2.5-7b,18,44,0.2,2,0.514,0.75,0.07199966430663807,
USDTWD,1,qwen2.5-7b,19,39,0.3,3,0.634,0.75,0.008801574707028692,
USDTWD,1,mistral-7b,0,59,0.2,3,0.65,0.7,0.05780008544921955,
USDTWD,1,mistral-7b,1,65,0.2,3,0.65,0.7,0.017800598144532387,
USDTWD,1,mistral-7b,2,58,0.2,3,0.65,0.7,0.08299942016601491,
USDTWD,1,mistral-7b,3,65,0.2,3,0.55,0.7,0.031900579833983755,
USDTWD,1,mistral-7b,4,73,0.2,3,0.6,0.7,0.031900579833983755,
USDTWD,1,mistral-7b,5,78,0.2,2,0.55,0.7,0.020099465942383432,
USDTWD,1,mistral-7b,6,57,0.2,3,0.55,0.7,0.23290074768066305,
USDTWD,1,mistral-7b,7,59,0.3,2,0.55,0.7,0.11959968261718856,
USDTWD,1,mistral-7b,8,50,0.2,3,0.55,0.7,0.062200634765623875,
USDTWD,1,mistral-7b,9,49,0.2,2,0.544,0.7,0.006700738525388772,
USDTWD,1,mistral-7b,10,76,0.2,2,0.55,0.7,0.04189926147461165,
USDTWD,1,mistral-7b,11,57,0.2,2,0.5,0.7,0.03199926147460985,
USDTWD,1,mistral-7b,12,52,0.2,3,0.6,0.7,0.11609998474121141,
USDTWD,1,mistral-7b,13,56,0.3,2,0.5,0.65,0.04499938964843864,
USDTWD,1,mistral-7b,14,71,0.2,3,0.6,0.7,0.025998535156247726,
USDTWD,1,mistral-7b,15,50,0.2,2,0.65,0.65,0.13129959106445455,
USDTWD,1,mistral-7b,16,44,0.2,2,0.564,0.65,0.02800033569335625,
USDTWD,1,mistral-7b,17,51,0.2,3,0.65,0.7,0.07199966430663807,
USDTWD,1,mistral-7b,18,71,0.2,1,0.6,0.7,0.07199966430663807,
USDTWD,1,mistral-7b,19,51,0.2,3,0.65,0.7,0.008801574707028692,
