currency,horizon,model,rmse,mae,mape,da
USDIDR,1,arima,561.8646714267386,521.82699721924,3.234335268372541,10.0
USDIDR,1,lstm,1438.5092529718622,1412.4698928924697,8.7786812584555,40.0
USDIDR,1,xgboost,477.293879419258,434.71625,2.6925579268733673,45.714285714285715
USDIDR,1,itransformer,387.5460982320192,338.998271484375,2.0971966026238933,54.285714285714285
USDIDR,5,arima,561.8646714267386,521.82699721924,3.234335268372541,10.0
USDIDR,5,lstm,1583.5314603431218,1559.9597870122386,9.697667607700636,40.0
USDIDR,5,xgboost,477.293879419258,434.71625,2.6925579268733673,45.714285714285715
USDIDR,5,itransformer,442.06925670445185,400.621123046875,2.480998204353379,52.85714285714286
USDIDR,10,arima,561.8646714267386,521.82699721924,3.234335268372541,10.0
USDIDR,10,lstm,1617.4413797817717,1596.5762979738204,9.92679696592948,32.857142857142854
USDIDR,10,xgboost,477.293879419258,434.71625,2.6925579268733673,45.714285714285715
USDIDR,10,itransformer,546.4636244244786,514.2890234375,3.1894568662113243,54.285714285714285
USDEUR,1,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,53.52112676056338
USDEUR,1,lstm,0.02522354711613409,0.02428614477632198,2.615991335153274,16.901408450704224
USDEUR,1,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,33.80281690140845
USDEUR,1,itransformer,0.07571976646929092,0.06750735521316528,7.285819454134884,54.929577464788736
USDEUR,5,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,53.52112676056338
USDEUR,5,lstm,0.029525142423404104,0.028596603381401593,3.080876969958247,35.2112676056338
USDEUR,5,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,33.80281690140845
USDEUR,5,itransformer,0.01647397682255403,0.014878904223442077,1.6007246624192548,49.29577464788733
USDEUR,10,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,53.52112676056338
USDEUR,10,lstm,0.027373540772564785,0.026370229528684615,2.840582413763937,39.436619718309856
USDEUR,10,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,33.80281690140845
USDEUR,10,itransformer,0.04070892568530239,0.03838886380195618,4.136638098320893,46.478873239436616
USDSGD,1,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,0.0
USDSGD,1,lstm,0.018521027103568698,0.01761975602903733,1.3067760718994794,42.25352112676056
USDSGD,1,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,15.492957746478872
USDSGD,1,itransformer,0.007279448174431999,0.005849701166152945,0.4319686486227269,49.29577464788733
USDSGD,5,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,0.0
USDSGD,5,lstm,0.02283491272182916,0.02218790399706564,1.6448636697908203,50.70422535211267
USDSGD,5,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,15.492957746478872
USDSGD,5,itransformer,0.031670938792150126,0.030283172130584707,2.239053205846385,50.70422535211267
USDSGD,10,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,0.0
USDSGD,10,lstm,0.021991008651508798,0.021184111305235554,1.57080382696607,39.436619718309856
USDSGD,10,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,15.492957746478872
USDSGD,10,itransformer,0.017672687396087603,0.016441456079483024,1.215134956258699,46.478873239436616
USDTWD,1,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,19.718309859154928
USDTWD,1,lstm,1.754473529228074,1.7267284070453344,5.356859004578533,28.169014084507044
USDTWD,1,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,47.88732394366197
USDTWD,1,itransformer,1.7975924669769305,1.69287187576294,5.245653449310315,40.845070422535215
USDTWD,5,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,19.718309859154928
USDTWD,5,lstm,1.5875855872993403,1.5442807108531265,4.788546274780107,40.845070422535215
USDTWD,5,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,47.88732394366197
USDTWD,5,itransformer,1.1390134397330496,1.0717001533508306,3.320070479237132,52.112676056338024
USDTWD,10,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,19.718309859154928
USDTWD,10,lstm,1.7528041925953899,1.7260868436815884,5.355011881027355,25.352112676056336
USDTWD,10,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,47.88732394366197
USDTWD,10,itransformer,1.3002838201859936,1.236045417785645,3.8303193491858325,50.70422535211267
USDAUD,1,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,0.0
USDAUD,1,lstm,0.09787935854501838,0.09638291263226634,6.331156784473246,39.436619718309856
USDAUD,1,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,25.352112676056336
USDAUD,1,itransformer,0.03177964893473493,0.02660455822944642,1.7558791991638905,43.66197183098591
USDAUD,5,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,0.0
USDAUD,5,lstm,0.09838396943837474,0.09691322267327734,6.36610204899013,45.07042253521127
USDAUD,5,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,25.352112676056336
USDAUD,5,itransformer,0.03779810517999421,0.030670857429504393,2.0306855421028462,43.66197183098591
USDAUD,10,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,0.0
USDAUD,10,lstm,0.10578119629863882,0.10438831118767083,6.8580015728901875,46.478873239436616
USDAUD,10,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,25.352112676056336
USDAUD,10,itransformer,0.048672964744923206,0.04589183211326598,3.013322394705907,52.112676056338024
