currency,horizon,best_model_rmse,rmse,mae,mape,da,best_model_da,best_da
USDAUD,1,qwen2.5-7b (baseline_llm),0.0101,0.0085,0.5904,16.6667,arima (baseline),63.8889
USDAUD,10,arima (baseline),0.0182,0.0138,0.9027,63.8889,qwen2.5-7b (baseline_llm),68.0952
USDAUD,5,arima (baseline),0.0182,0.0138,0.9027,63.8889,arima (baseline),63.8889
USDEUR,1,mistral-7b (full_model),0.0065,0.0042,0.5005,33.3333,qwen2.5-7b (full_model),83.3333
USDEUR,10,itransformer (baseline),0.0105,0.0083,0.8937,51.3889,qwen2.5-7b (news_only),60.4762
USDEUR,5,qwen2.5-7b (prompt_only),0.0099,0.0074,0.8719,54.8333,llama3-8b (prompt_only),70.6667
USDIDR,1,qwen2.5-7b (full_model),59.999,48.9993,0.2911,83.3333,llama3-8b (news_only),83.3333
USDIDR,10,mistral-7b (prompt_only),105.4106,84.8937,0.505,51.2738,mistral-7b (baseline_llm),64.9048
USDIDR,5,qwen2.5-7b (news_only),92.7482,71.7003,0.4265,62.6667,qwen2.5-7b (news_only),62.6667
USDSGD,1,qwen2.5-7b (prompt_only),0.0072,0.0035,0.2729,83.3333,llama3-8b (baseline_llm),83.3333
USDSGD,10,itransformer (baseline),0.0107,0.0094,0.6941,50.0,mistral-7b (baseline_llm),56.369
USDSGD,5,qwen2.5-7b (prompt_only),0.0089,0.0066,0.515,56.0,mistral-7b (news_only),64.0
USDTWD,1,qwen2.5-7b (baseline_llm),0.095,0.0773,0.2454,50.0,llama3-8b (prompt_only),83.3333
USDTWD,10,qwen2.5-7b (news_only),0.2337,0.1878,0.596,46.131,mistral-7b (full_model),66.7857
USDTWD,5,mistral-7b (news_only),0.2168,0.181,0.5744,71.6667,mistral-7b (news_only),71.6667
