model,config,horizon,rmse,mae,mape,da
qwen2.5-7b,baseline_llm,1,0.0100982232629428,0.0084657234585285,0.5903762978873655,16.666666666666668
arima,baseline,1,0.0181939132268529,0.0138148048662948,0.902679044733618,63.888888888888886
qwen2.5-7b,prompt_only,1,0.0268030377256758,0.0146944953894615,1.032446936355084,16.666666666666668
qwen2.5-7b,full_model,1,0.0270118733873652,0.0176605066061019,1.2430489077725262,0.0
llama3-8b,full_model,1,0.029448591047255,0.0228158913445472,1.6045083498843686,33.333333333333336
llama3-8b,baseline_llm,1,0.0295862937179895,0.0228634214413165,1.5818977339966949,33.333333333333336
xgboost,baseline,1,0.0333087643921979,0.0289118218421936,1.8914178495684808,55.55555555555556
mistral-7b,prompt_only,1,0.0365465197625016,0.0289900862193107,2.028246283019585,16.666666666666668
qwen2.5-7b,news_only,1,0.0370667218873942,0.0283675300073623,1.9732567745311076,0.0
llama3-8b,news_only,1,0.0375373507288145,0.0342680525612831,2.37918184942436,16.666666666666668
mistral-7b,full_model,1,0.037624404013686,0.0330118621897697,2.295255019972028,16.666666666666668
llama3-8b,prompt_only,1,0.0387394277774766,0.0285502237641811,1.9998879374736171,16.666666666666668
mistral-7b,baseline_llm,1,0.0390653315170918,0.0313601962447166,2.1862736267760243,16.666666666666668
lstm,baseline,1,0.0390914340108232,0.0292172765107981,1.926583585738448,62.5
mistral-7b,news_only,1,0.0423174614986084,0.0360881474900245,2.508902553057202,16.666666666666668
itransformer,baseline,1,0.088870721915958,0.0832168960571289,5.475395441535391,55.55555555555556
arima,baseline,10,0.0181939132268529,0.0138148048662948,0.902679044733618,63.888888888888886
qwen2.5-7b,prompt_only,10,0.0291675436330542,0.0183932674123048,1.279568105698569,59.40476190476191
qwen2.5-7b,baseline_llm,10,0.0303616484438079,0.0200181549720763,1.3794677945477851,68.09523809523809
xgboost,baseline,10,0.0333087643921979,0.0289118218421936,1.8914178495684808,55.55555555555556
qwen2.5-7b,full_model,10,0.0354562597572421,0.0252979865152836,1.7598941635283316,51.72619047619048
mistral-7b,prompt_only,10,0.0383732529152223,0.029848356182456,2.0637188343195856,47.20238095238095
llama3-8b,baseline_llm,10,0.0392908225710294,0.0321151641837358,2.220924580196426,46.19047619047619
mistral-7b,full_model,10,0.0405225488538241,0.0307096775134802,2.1335598872151484,48.03571428571429
llama3-8b,news_only,10,0.0427285599562399,0.0341876080334186,2.366738653114633,46.60714285714285
llama3-8b,prompt_only,10,0.0430228574194731,0.0313612186151743,2.1879686350954466,45.95238095238095
llama3-8b,full_model,10,0.0449580367556505,0.0346128207125663,2.406275749201671,46.01190476190476
itransformer,baseline,10,0.0454721595827322,0.0366244852542877,2.4231378344975507,45.83333333333333
qwen2.5-7b,news_only,10,0.0462309779345473,0.038284069791913,2.6504573699407263,45.77380952380952
mistral-7b,baseline_llm,10,0.0504031113535289,0.0439980603744983,3.047238756264948,45.95238095238095
mistral-7b,news_only,10,0.0521031346446777,0.0427671282783746,2.9705325298592906,46.19047619047619
lstm,baseline,10,0.0966812486813221,0.0947363655545756,6.224029445406639,55.55555555555556
arima,baseline,5,0.0181939132268529,0.0138148048662948,0.902679044733618,63.888888888888886
qwen2.5-7b,prompt_only,5,0.0226886646576217,0.0136970130467414,0.9523465646818912,50.83333333333333
qwen2.5-7b,full_model,5,0.0290673170730546,0.0208985325484275,1.4540682358638304,56.66666666666666
qwen2.5-7b,baseline_llm,5,0.0293434153469113,0.0210553526101111,1.4534854115461178,54.16666666666666
itransformer,baseline,5,0.03115962430243,0.0272834730148315,1.785679581067755,55.55555555555556
xgboost,baseline,5,0.0333087643921979,0.0289118218421936,1.8914178495684808,55.55555555555556
llama3-8b,baseline_llm,5,0.0346440120903943,0.0278197837581634,1.927150148139137,52.5
llama3-8b,full_model,5,0.0361528249548277,0.0281582774496078,1.9571280549199528,52.5
mistral-7b,full_model,5,0.0379204872890862,0.0298291742744445,2.0719313470723444,45.0
mistral-7b,baseline_llm,5,0.0381917889121419,0.0312675021882056,2.1634386232497613,49.16666666666666
llama3-8b,prompt_only,5,0.0388604162826839,0.028764038547039,2.001689467935318,53.33333333333333
llama3-8b,news_only,5,0.0392775188106993,0.0324502587852477,2.248098129447306,36.66666666666666
qwen2.5-7b,news_only,5,0.0401212419486295,0.0340468830251693,2.35961758161653,41.66666666666666
mistral-7b,prompt_only,5,0.0405282726885526,0.0307081508743762,2.133174584092416,44.99999999999999
mistral-7b,news_only,5,0.0411625189048858,0.0347278572595119,2.405224776037124,41.66666666666666
lstm,baseline,5,0.1099683938130181,0.1084919081916803,7.128198518574504,55.55555555555556
