model,config,horizon,rmse,mae,mape,da
qwen2.5-7b,full_model,1,59.99895037021231,48.99925451171875,0.2911433493520449,83.33333333333333
qwen2.5-7b,news_only,1,63.60232891624383,49.38824130859357,0.2930259173695425,66.66666666666667
mistral-7b,prompt_only,1,64.03279275086194,51.9463696484374,0.308771166422994,83.33333333333333
qwen2.5-7b,prompt_only,1,64.0962727575056,47.23059908203068,0.2804184874508688,66.66666666666667
mistral-7b,full_model,1,82.15560008618125,68.70968124999999,0.4087702731285562,83.33333333333333
qwen2.5-7b,baseline_llm,1,87.85783868296129,63.09158656249965,0.3747945477670758,66.66666666666667
mistral-7b,baseline_llm,1,93.9948272269177,73.32299093749971,0.435660860347953,50.0
mistral-7b,news_only,1,94.4330163651977,75.76007488281212,0.4506855010913661,33.333333333333336
llama3-8b,full_model,1,99.02119455474316,87.65942972656266,0.5210816841599213,66.66666666666667
llama3-8b,prompt_only,1,105.08123159641715,85.67295281250009,0.5096685495148199,83.33333333333333
llama3-8b,news_only,1,122.0997995751602,99.45826392578128,0.5909173097336179,83.33333333333333
llama3-8b,baseline_llm,1,131.61631548070002,121.4476709374998,0.7222248489215914,66.66666666666667
itransformer,baseline,1,459.10705972187225,416.230478515625,2.5777991296576417,45.07042253521127
xgboost,baseline,1,477.293879419258,434.71625,2.6925579268733677,45.07042253521127
arima,baseline,1,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
lstm,baseline,1,1653.923188791336,1625.5359993599996,10.10390446688543,42.25352112676056
mistral-7b,prompt_only,10,105.41055533328056,84.89367198437499,0.5049998093403102,51.27380952380953
llama3-8b,prompt_only,10,113.6655894013482,94.17622219726586,0.5604236384986353,49.42857142857142
llama3-8b,full_model,10,114.84265971572704,91.9938969609376,0.5477544644412138,49.60714285714285
qwen2.5-7b,baseline_llm,10,115.33134780163346,93.93935980664078,0.5584466204952094,50.08333333333333
mistral-7b,full_model,10,115.91534651399532,93.58766965234358,0.556715114574417,50.44047619047619
mistral-7b,baseline_llm,10,119.40182739511296,96.65818994921892,0.5752810285120553,64.9047619047619
qwen2.5-7b,full_model,10,123.07060990380022,110.4108998750001,0.6562677031853078,39.83333333333333
llama3-8b,baseline_llm,10,126.55164646687824,103.40721692578131,0.6147292487469899,53.57142857142858
mistral-7b,news_only,10,133.4812532594071,107.77577302343748,0.6413386165557393,41.51190476190476
qwen2.5-7b,prompt_only,10,136.53632177054266,119.78608174609384,0.7116714950658866,43.41666666666666
qwen2.5-7b,news_only,10,139.72471508891996,111.37233845703136,0.6618926145644769,48.08333333333333
llama3-8b,news_only,10,150.43626714815542,120.316327359375,0.7153121395916453,55.345238095238095
xgboost,baseline,10,477.293879419258,434.71625,2.6925579268733677,45.07042253521127
itransformer,baseline,10,525.0658637496423,486.387578125,3.0145686834583154,45.07042253521127
arima,baseline,10,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
lstm,baseline,10,1648.9442739608571,1620.3552983215463,10.071520830302942,42.25352112676056
qwen2.5-7b,news_only,5,92.7482448390174,71.70026064843755,0.4264687868909111,62.66666666666666
qwen2.5-7b,baseline_llm,5,95.63247004569833,78.88876857031246,0.4688438480651614,49.33333333333333
llama3-8b,full_model,5,97.69548850477474,80.61437946875004,0.4799195148909479,50.66666666666666
mistral-7b,prompt_only,5,98.06319402026293,77.1349419843751,0.4587894447069345,51.83333333333333
mistral-7b,full_model,5,100.64549590710608,77.43400946875,0.4601967659459788,62.66666666666666
llama3-8b,prompt_only,5,109.67766936208405,91.18850193359394,0.5424524516309152,47.33333333333333
mistral-7b,news_only,5,112.99798530218044,91.85378914453132,0.5460705441913204,58.99999999999999
qwen2.5-7b,prompt_only,5,113.04845540676972,91.47844914453113,0.5435146344806381,40.99999999999999
mistral-7b,baseline_llm,5,115.84735650609214,87.38137391796867,0.5195494091651064,55.66666666666666
qwen2.5-7b,full_model,5,121.1887003047332,102.06596493749988,0.6065713528864067,35.666666666666664
llama3-8b,baseline_llm,5,130.54248524183575,107.87706460546885,0.6413262344972269,43.33333333333333
llama3-8b,news_only,5,148.40430376179975,124.67383732421884,0.741055174534731,50.66666666666666
itransformer,baseline,5,463.14609959977,423.223017578125,2.621748034774257,46.478873239436616
xgboost,baseline,5,477.293879419258,434.71625,2.6925579268733677,45.07042253521127
arima,baseline,5,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
lstm,baseline,5,1650.565816716727,1627.341210341449,10.11721584636659,42.25352112676056
