model,config,horizon,rmse,mae,mape,da
qwen2.5-7b,prompt_only,1,0.0072252108604694,0.0034583571326732,0.2728603811103587,55.55555555555556
itransformer,baseline,1,0.0072794481744319,0.0058497011661529,0.4319686486227269,49.29577464788733
qwen2.5-7b,baseline_llm,1,0.0076002054673466,0.00572261251688,0.4500634043924901,55.55555555555556
llama3-8b,prompt_only,1,0.0079717590989899,0.0063651385605335,0.5001526803624172,66.66666666666666
mistral-7b,baseline_llm,1,0.0081523228665909,0.0067922966361046,0.5341673446521258,55.55555555555556
qwen2.5-7b,news_only,1,0.0084841032403276,0.006347132819891,0.4997847651851494,88.88888888888889
qwen2.5-7b,full_model,1,0.0089430791685865,0.005429124777317,0.4281539704804567,44.44444444444444
mistral-7b,full_model,1,0.0093875006212176,0.007224694545269,0.5670891768437164,44.44444444444444
llama3-8b,baseline_llm,1,0.009497031732403,0.0075183864092826,0.5892348199124302,66.66666666666666
llama3-8b,full_model,1,0.0095832873016174,0.0071005776309967,0.557868095372069,66.66666666666666
mistral-7b,prompt_only,1,0.0107559222829526,0.0095192432928085,0.746571056185367,44.44444444444444
mistral-7b,news_only,1,0.0111144031159589,0.0094745295464993,0.7452462956052038,66.66666666666666
llama3-8b,news_only,1,0.0115514623549033,0.0103008267986774,0.8070357395417498,55.55555555555556
xgboost,baseline,1,0.0165987153938904,0.0153574848175048,1.1351232351810132,15.492957746478872
lstm,baseline,1,0.0185210271035686,0.0176197560290373,1.3067760718994794,42.25352112676056
arima,baseline,1,0.0214637331716844,0.0203452634811401,1.5039538845951457,0.0
qwen2.5-7b,prompt_only,10,0.0111635680683808,0.0087123945206404,0.6837727948984484,41.17647058823529
mistral-7b,prompt_only,10,0.0119434031825295,0.0100239599051476,0.7852152882396699,50.0
qwen2.5-7b,full_model,10,0.0119965188919661,0.0092722387424708,0.7288476283609987,47.05882352941176
mistral-7b,full_model,10,0.0121870405948512,0.0097450333390236,0.7646667027686893,52.94117647058824
qwen2.5-7b,baseline_llm,10,0.0134593342496536,0.0104588206686974,0.821162475366829,41.17647058823529
mistral-7b,baseline_llm,10,0.0144469638339378,0.0123447387591601,0.967100986486828,60.29411764705882
llama3-8b,prompt_only,10,0.014875663960025,0.0121905638935566,0.9579173299298718,35.294117647058826
mistral-7b,news_only,10,0.0148897272535452,0.0116133191010952,0.9114019104392566,47.05882352941176
qwen2.5-7b,news_only,10,0.0150831810139618,0.0128661668051482,1.009237246919476,48.52941176470589
llama3-8b,news_only,10,0.015285102464895,0.0131088135896922,1.0276940327831523,50.0
llama3-8b,full_model,10,0.0154273270956963,0.0118893391028643,0.9348299238242864,45.588235294117645
llama3-8b,baseline_llm,10,0.0156206244803859,0.0133033438665867,1.0429231231300724,51.47058823529412
xgboost,baseline,10,0.0165987153938904,0.0153574848175048,1.1351232351810132,15.492957746478872
itransformer,baseline,10,0.0176726873960876,0.016441456079483,1.215134956258699,46.478873239436616
arima,baseline,10,0.0214637331716844,0.0203452634811401,1.5039538845951457,0.0
lstm,baseline,10,0.0219910086515087,0.0211841113052355,1.57080382696607,39.436619718309856
qwen2.5-7b,prompt_only,5,0.0088657307007273,0.0065631531908512,0.5150250316327165,40.54054054054054
qwen2.5-7b,baseline_llm,5,0.0097488543547507,0.0078009749691486,0.6122398507866473,43.24324324324324
qwen2.5-7b,full_model,5,0.0098042039154685,0.0077190665011406,0.60594426937086,51.35135135135135
mistral-7b,full_model,5,0.0109503258226431,0.0085987507190705,0.6744413720799519,45.94594594594595
mistral-7b,prompt_only,5,0.011298966899315,0.0090881358149052,0.7127374723106428,54.054054054054056
mistral-7b,news_only,5,0.0116650279712113,0.0092030320246219,0.7228040610691431,48.64864864864865
llama3-8b,prompt_only,5,0.0117386890171188,0.009341631606102,0.7335278381688957,59.45945945945946
llama3-8b,full_model,5,0.0117889140030034,0.0092722726273537,0.7278190059851866,56.75675675675676
mistral-7b,baseline_llm,5,0.0125744196326445,0.0105916958827973,0.82907515214252,45.94594594594595
llama3-8b,news_only,5,0.0128696262309687,0.0108944187479019,0.8544693515370981,56.75675675675676
qwen2.5-7b,news_only,5,0.0134432943915927,0.0112863224768639,0.8856754580183762,43.24324324324324
llama3-8b,baseline_llm,5,0.0140888135125266,0.0115390896174908,0.905561913434644,45.94594594594595
xgboost,baseline,5,0.0165987153938904,0.0153574848175048,1.1351232351810132,15.492957746478872
arima,baseline,5,0.0214637331716844,0.0203452634811401,1.5039538845951457,0.0
lstm,baseline,5,0.0228349127218291,0.0221879039970656,1.6448636697908203,50.70422535211267
itransformer,baseline,5,0.0316709387921501,0.0302831721305847,2.239053205846385,50.70422535211267
