type,model,config,currency,horizon,window,window_rmse,window_da
llm,llama3-8b,baseline_llm,USDIDR,1,0,266.47828359375126,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,1,332.6876398437489,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,2,2.8914999999997235,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,3,86.21969531250033,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,4,149.72600000000057,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,5,88.50199062499996,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,6,288.1944999999996,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,7,13.907095312499223,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,8,205.1933953125008,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,9,60.09301874999983,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,10,93.26099062499998,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,11,380.88732324218836,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,12,276.89630000000034,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,13,171.20370937500047,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,14,39.48900195312672,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,15,494.00078945312634,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,16,186.7505999999994,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,17,202.3959388671865,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,18,484.94110996093696,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,19,61.42933691406142,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,20,11.79738124999858,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,21,104.7567999999992,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,22,173.4331089843763,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,23,103.16546914062565,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,24,4.677562500000931,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,25,97.39360351562573,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,26,227.24482421874927,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,27,58.172013281251566,0.0
llm,llama3-8b,baseline_llm,USDIDR,1,28,145.24227109374988,100.0
llm,llama3-8b,baseline_llm,USDIDR,1,29,105.92455117187637,0.0
llm,llama3-8b,news_only,USDIDR,1,0,335.7116167968743,100.0
llm,llama3-8b,news_only,USDIDR,1,1,170.09412265624997,0.0
llm,llama3-8b,news_only,USDIDR,1,2,252.51950000000033,100.0
llm,llama3-8b,news_only,USDIDR,1,3,76.64594531250077,100.0
llm,llama3-8b,news_only,USDIDR,1,4,104.51950000000033,0.0
llm,llama3-8b,news_only,USDIDR,1,5,29.88439062500038,100.0
llm,llama3-8b,news_only,USDIDR,1,6,173.20950000000084,0.0
llm,llama3-8b,news_only,USDIDR,1,7,136.50720468749932,0.0
llm,llama3-8b,news_only,USDIDR,1,8,205.30559531250037,0.0
llm,llama3-8b,news_only,USDIDR,1,9,386.8194187499994,100.0
llm,llama3-8b,news_only,USDIDR,1,10,286.8642093750004,100.0
llm,llama3-8b,news_only,USDIDR,1,11,93.96838085937634,0.0
llm,llama3-8b,news_only,USDIDR,1,12,273.1485499999999,100.0
llm,llama3-8b,news_only,USDIDR,1,13,189.19290937500045,0.0
llm,llama3-8b,news_only,USDIDR,1,14,10.139968750001572,100.0
llm,llama3-8b,news_only,USDIDR,1,15,310.5416044921876,0.0
llm,llama3-8b,news_only,USDIDR,1,16,192.7661999999982,0.0
llm,llama3-8b,news_only,USDIDR,1,17,213.87949648437643,0.0
llm,llama3-8b,news_only,USDIDR,1,18,117.87949648437643,0.0
llm,llama3-8b,news_only,USDIDR,1,19,162.67123984374848,0.0
llm,llama3-8b,news_only,USDIDR,1,20,11.537081250000483,0.0
llm,llama3-8b,news_only,USDIDR,1,21,24.55359999999928,100.0
llm,llama3-8b,news_only,USDIDR,1,22,27.609060937498725,0.0
llm,llama3-8b,news_only,USDIDR,1,23,261.4673023437499,0.0
llm,llama3-8b,news_only,USDIDR,1,24,152.6260146484383,0.0
llm,llama3-8b,news_only,USDIDR,1,25,267.0355957031243,100.0
llm,llama3-8b,news_only,USDIDR,1,26,62.682958984376455,100.0
llm,llama3-8b,news_only,USDIDR,1,27,57.55670039062534,0.0
llm,llama3-8b,news_only,USDIDR,1,28,162.76460273437624,100.0
llm,llama3-8b,news_only,USDIDR,1,29,266.915713671875,0.0
llm,llama3-8b,prompt_only,USDIDR,1,0,6.745778906250052,100.0
llm,llama3-8b,prompt_only,USDIDR,1,1,108.77046406249974,0.0
llm,llama3-8b,prompt_only,USDIDR,1,2,457.98049999999967,100.0
llm,llama3-8b,prompt_only,USDIDR,1,3,76.72919531250045,100.0
llm,llama3-8b,prompt_only,USDIDR,1,4,104.51950000000033,0.0
llm,llama3-8b,prompt_only,USDIDR,1,5,32.24599062500056,100.0
llm,llama3-8b,prompt_only,USDIDR,1,6,116.05249999999978,0.0
llm,llama3-8b,prompt_only,USDIDR,1,7,11.036095312500038,100.0
llm,llama3-8b,prompt_only,USDIDR,1,8,186.53079531249932,0.0
llm,llama3-8b,prompt_only,USDIDR,1,9,293.73081875000025,100.0
llm,llama3-8b,prompt_only,USDIDR,1,10,58.99440937500003,100.0
llm,llama3-8b,prompt_only,USDIDR,1,11,121.67844921875076,0.0
llm,llama3-8b,prompt_only,USDIDR,1,12,14.71809999999823,100.0
llm,llama3-8b,prompt_only,USDIDR,1,13,164.35799062500155,0.0
llm,llama3-8b,prompt_only,USDIDR,1,14,43.79040820312366,100.0
llm,llama3-8b,prompt_only,USDIDR,1,15,138.69376035156165,0.0
llm,llama3-8b,prompt_only,USDIDR,1,16,192.7661999999982,0.0
llm,llama3-8b,prompt_only,USDIDR,1,17,541.0136634765622,0.0
llm,llama3-8b,prompt_only,USDIDR,1,18,480.4065769531244,0.0
llm,llama3-8b,prompt_only,USDIDR,1,19,62.776910546876024,0.0
llm,llama3-8b,prompt_only,USDIDR,1,20,83.36281874999986,0.0
llm,llama3-8b,prompt_only,USDIDR,1,21,111.3744000000006,100.0
llm,llama3-8b,prompt_only,USDIDR,1,22,181.15707246093734,0.0
llm,llama3-8b,prompt_only,USDIDR,1,23,138.04839374999938,0.0
llm,llama3-8b,prompt_only,USDIDR,1,24,226.16875878906285,100.0
llm,llama3-8b,prompt_only,USDIDR,1,25,114.83012695312573,0.0
llm,llama3-8b,prompt_only,USDIDR,1,26,139.37004394531323,0.0
llm,llama3-8b,prompt_only,USDIDR,1,27,106.18304882812663,0.0
llm,llama3-8b,prompt_only,USDIDR,1,28,5.191226171875314,100.0
llm,llama3-8b,prompt_only,USDIDR,1,29,77.73761640625162,0.0
llm,llama3-8b,full_model,USDIDR,1,0,26.04893046875077,100.0
llm,llama3-8b,full_model,USDIDR,1,1,104.55738828124959,0.0
llm,llama3-8b,full_model,USDIDR,1,2,252.51950000000033,100.0
llm,llama3-8b,full_model,USDIDR,1,3,86.21969531250033,100.0
llm,llama3-8b,full_model,USDIDR,1,4,104.51950000000033,0.0
llm,llama3-8b,full_model,USDIDR,1,5,31.593190625000716,100.0
llm,llama3-8b,full_model,USDIDR,1,6,20.709500000000844,0.0
llm,llama3-8b,full_model,USDIDR,1,7,39.88500468749953,100.0
